SENTENCE A,SENTENCE B,label
there is no dog chasing another or holding a stick in its mouth,a dog is chasing another and is holding a stick in its mouth,1
nobody is brushing a cat,a person is brushing a cat,1
the boy is cutting the grass by the curb with scissors,the boy is not cutting the grass by the curb with scissors,1
two men and a girl in front of a wood panel wall are making funny faces,three friends are making faces for the camera,0
a dog is jumping high into the air in the country,a dog is jumping on a trees in the shades,0
someone is peeling a banana,a man is eating a fruit,0
Yes.  It's being used on the T-Mobil system without any data plan - just talk and text.,no ,1
a man is shooting a shotgun,there is no man shooting a shotgun,1
the man is removing sliced cucumbers from water,a man is cooking a snake,0
a man is playing a violin,the baby is not laughing and crawling,0
a person is tearing paper,there is no man cutting a paper,0
a man in blue is riding a horse on a dirt road,a woman in blue is riding a horse on a dirt road,0
there are no racers running down a track,men are running a race,0
a man is playing the piano,a woman is playing the violin,0
a man is shooting guns,there is no man shooting guns,1
people in costumes are walking around in the street,two people dressed in green and red costumes are outside near the street,0
nobody is sitting in the chairs and watching the ocean,a couple is sitting on a patio and looking at the ocean,0
a woman in a black dress is pulling a cart and is standing in front of two men who are seated on a park bench,a boy is wearing a black dress and is carrying a white cross,0
a kitten is drinking fresh milk,the cat is drinking some milk,0
the woman is dicing onions,a woman is swiftly cutting an onion,0
two dogs are playing outside,two brown and white dogs are fighting on a grassy area in front of a tree,0
a dog is chasing a ball through dirt,there is no dog catching a ball,0
a person is riding a dirt bike up a dirt hill,a person is riding a dirt bike down a dirt hill,0
a woman is chopping an onion,a woman is not chopping an onion,1
a man is reading an email,a person is peeling a banana,0
a man in a blue cowboy hat is riding a black horse,a man in a blue cowboy hat is riding a white horse,0
the band is singing ,the band isnt singing,1
a man is playing a guitar,a man is opening a box with a knife,0
there is no woman with black hair standing in front of a plywood wall,two women with black hair are standing in front of a plywood wall,1
two children are hanging on a large branch,two children and an adult are not standing next to a tree limb,0
a woman is peeling a potato,there is no woman peeling a potato,1
the woman is drawing a man,a man is drawing,0
nobody is dangling from straps and kicking at each other,a blonde girl is hanging by gymnastic ropes,0
two dogs are playing together on the grass,a big dog and a small dog with a white coat are playing together,0
a woman is peeling a potato,there is no lady peeling the potato,1
two dogs are wrestling and hugging,a brown dog is helping another animal in front of the man in pants,0
a man on a green bike is performing tricks on a dirt ramp,a stuntman on a bike is in the air near a body of water,0
two dogs and two people are sitting in the woods,two dogs and two people are walking in the woods,1
two pandas are lying together,two baby pandas are sleeping,0
a man is on a boat in front of the sunset,there is no man on a boat in front of the sunset,1
a woman is removing the peel of a potato,a woman is slicing a tomato,0
a grey dog is bouncing a soccer ball on its head in a grass field,a grey dog is bouncing a tennis ball on its head in a grass field,1
two people are kickboxing and spectators are watching,two women are sparring in a kickboxing match,0
there is no woman adding spices to some meat,a woman is adding spices to some meat,1
a soccer ball is rolling into a goal net,a soccer player is kicking a ball out of the goal,0
a toddler is playing with a plastic scooter toy,a young child is riding a three wheeled scooter down the sidewalk,0
a man is playing a guitar,a man in a hat is playing a harp,0
a woman is not frying meat,a woman is placing food in a pot of hot water,0
a woman is sitting wearing swim gear,a kid is sitting wearing swim gear,0
a brown puppy is biting a stick,a brown puppy is gnawing a metallic post that is stuck in the ground,0
the player in purple white and black is playing near the end of the field,the black player is making the white player a play near the end of a purple field,0
there is no couple running towards the ocean,a couple is running towards the ocean,1
a man is walking down a road,the man is walking along a path through the wilderness,0
the men are talking,the men are not talking,1
a man is standing at the wheel of a classic american car that has its door and trunk open,the woman in blue is posing for a picture next to a car,0
a chimp is angrily kicking a target,an angry man is targeting a kicking chimp,0
a man is playing keyboards,a man is riding a rodeo bull,0
someone is slicing a tomato,the person isnt slicing a vegetable,0
two people wearing helmets are riding over the yellow and white flowers,two adults are standing on a scooter in a field of yellow flowers,0
